input,response,tag
how can i start accepting myself and be more confident?,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
why am i starting to not like myself?,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
"for the past year, i have been feeling pressured to do well in school, and it put a ton of stress on me","a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
"i have been bullied for five years for taking stress, it is now sinking in, and i can't stop it. for some other reason, i can't find a hobby i can see myself doing without thinking bad about myself","a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
why do i feel like i can never meet people's expectations?,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
why am i so nervous talking to people?,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
i feel like i failed myself,"a lot of times, these feelings are the result of the people in your life treating you a certain way. you internalize it and accept it as your reality. do you feel something like this might have happened to you?",self-esteem-A
how can i feel less self conscious about my weight?,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
"i'm a teenage girl, and i feel very bad about my weight. i don't know how to make it stop.",have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
i am very self conscious about my body,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
on the first day of school i wore a bra that was too big so that it would look like i had bigger boobs. i did that the whole school year and my parents never found out. but now i can never hang out with my friends at my house or invite them over because it would be around my parents and my friends would see there is nothing there on my chest.,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
i hate the way i look,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
i hate everything i see in the mirror. i don't like being in pictures and always scribble out my face. it's stressing me out. i don't trust my parents enough to tell them and i don't know what to do.,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
how come i feel ugly?,have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
"i'm in my early 20s. i've been married once, and he cheated on me. ever since then, i've felt ugly no matter what. i'm engaged, and i still feel ugly. i don't like to take pictures of myself.",have you spoken to your health care provider about your situation? you may not have a medical issue.   a lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.,self-esteem-B
why do i feel like i always need to be in a relationship?,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
"i have suffered many things at home and school. we never went to the doctor to diagnose depression or anything like that, but i always feel like a part of my heart is missing. i try to fill it in with objects or, in this case, a woman.","although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
how come no man sparks my interest?,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
"i was never single, afraid to be alone, and i looked for my boyfriend to make me happy. i finally worked on my self, was in a relationship, and i did everything a healthy girlfriend does and it didn't work out. now months later, no man peaks my interest. am i ready to date again? is there a reason no one sparks my interest?","although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
why is it hard for me to express myself?,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
i don't know how to tell someone how i feel about them. how can i get better at expressing how i feel?,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
i feel like i can't control having inappropriate thoughts,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
"i find that i imagine things sexually, and i hate it because it puts strain on my relationship. i feel helpless and guilty. i want it to go away, and i want to make my woman happy again.","although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
i feel like i could never be with anyone because no one would want me,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
what do i do if i have been feeling like i could never be with anyone because no one would want me. or i couldn't have many friends because of who i am. it's strange i want to be loved but i'd hate to be because i always lose.,"although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. generally, the lack of connection can occur when you don't feel heard, understood or valued. these are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. would you say it's accurate to say so.",relationship-b
why does my boyfriend threaten to leave every night?,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
"my boyfriend is always saying he's done with me and says he's leaving, but then at the end of the night, he's still here. he wakes up in the morning, acts like nothing happen, and repeats this every night.","often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
i'm scared of losing my girlfriend,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
my girlfriend recently started hanging out a lot more with one of her friends who did her wrong in the past and just walked out on her. so for the past 3 years its been just me and my girlfriend. things have been great up until the last month. now she ignores me and texts and hangs oit with her friend more and more. i dont know what to do anymore. my girlfriend is so distant. how do i keep from losing her?,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
why do i keep getting with men that emotionally abuse me?,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
i'm having a lot of conflict in my relationship,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
we do communicate but one of us has trouble accepting what the other person says. how can i fix things?,"often, communication is the key within relationships. when faced with our significant other telling us about a    crush   , it can create or highlight feelings or thoughts that can promote feelings of insecurity.",relationship-a
how can i control myself and my anger?,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
i snap easy and push people away. i need help before i push my boyfriend away.,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
how can i control my temper?,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
i get angry and act out. it scares my wife and child.,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
how can i just be happy and not mad all the time?,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
i get really mad easily at my parents and family.,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
my long term girlfriend broke up with me recently. she says it's because of my anger.,"sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
"i been having anger problems a lot lately. it only takes one word wrongly said to set me off. i use to not be like this until i got with my soon to be husband. i think his mood and rage anger problems have rubbed off on me a lot. i don't get nearly as bad as he does, but i yell almost constantly and i can't seem to just stop. i have two young babies that have to hear this, and i don't want my girls growing up with a mommy like i have been lately. i just don't know how to get back to my old self.","sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
"i need answers to my angry, possessiveness, and urges","sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
"whenever i run into a situation that makes me upset or angry, i tend to start cursing and badly offending the person i am confronting. i say mean things to let my anger out. whenever people tell me stuff about my relationship  like starting rumors or saying negative things about me or my relationship  i lash out not just them but at my boyfriend. i feel like i keep causing drama due to my personality. i want to be a better person and learn to let things not get to me and be happy and graceful. i hurt the ones i love with my words. i want to be better for myself and them.","sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
"sometime when small thing happen, like losing a comb, i get furious. i even start throwing things. do i have a problem?","sometimes we react to situations immediately, without thinking of the consequences of our actions. typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. one of the strategies that almost always helps is deep breathing. when faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths  breathe in slowly counting to 4 and breathe out even slower counting to 6 , while focusing and thinking only about your breathing. after doing so, think of the various ways you can respond to the situation and choose the one most appropriate.",angermanagement-a
we're in an eight year relationship. my boyfriend drinks a lot. he experienced childhood trauma. i don't know how to deal with violent outbursts.,"a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
my husband and i cant talk to each other without arguing,"a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
"every time i speak, he says i anger him. also, when he   s mad at something, like work, he gets angry at me. i feel like we   re so distant from each other now. we used to laugh all the time, and i feel like he lets too much negativity in. what should i do? we've been married for two years but together for seven.","a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
how can i help my boyfriend's anger issues?,"a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
"i have an emotionally abusive relationship. we have been together for a year and a half. he got out of prison exactly a year ago and a half ago, and we have a infant. i love my boyfriend, and i don't want to leave without fighting for this first. he's an emotionally disconnected person. we never say    i love you    to each other. every fight is worse than the last one, and i don't know what to do. he doesn't let me speak because he's louder than me, and that makes me feel frustrated. i have another problem  english is my second language. i pay half of the bills, and every time i want to speak to him, he kicks me out of the house. he apologizes sometimes. i feel like i'm the only one fighting for this. he agreed to have counseling.","a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
why did my boyfriend hit himself in the face during an argument?,"a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
"when i got home, my boyfriend and i got into an argument. he got upset and he started hitting his face. that is the first time he has ever done that, but i would be lying if i said that didn't scare me. i locked myself in the room.","a lot of times the anger someone expresses is from feeling a deep level hurt within themselves.a surface situation, like, a store told you they'd have delivery of a certain item by tuesday, and when that particular tuesday comes, the store doesn't have what they told you they would, and you are furious.the fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. do you think it might be related to something like this?",angermanagement-b
how do i get my partner to stop verbally abusing me?,i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
"every time my partner gets angry for anything, she takes it out on me. nothing i do is right, and once she's mad, she calls me all kinds of names and is verbally abusive. she says it isn   t abuse, it   s just angry verbal bashing, and that it   s different. it gets worse each time. the names are very vulgar now.",i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
"he is verbally abusive. when he gets mad, he just yells at me. at times, i feel scared.",i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
how do i overcome the nightmare from the domestic violence of a past relationship?,i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
"i am a survivor of domestic violence from a past relationship. even after seven years, i still have horrible nightmares. i wake up in sweat, and the dreams feel so real.",i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
how do i get out of an abusive relationship?,i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
"i've been with my boyfriend over 3 years. he cheated on me and the woman is now pregnant. he is physically and mentally abusive towards me. i have attempted to talk with him in order to resolve our issues  however, he never wants to talk and often blames me for everything. i   m always there when he needs my help. he tells me although i help him doesn   t mean that i am a good person. he always discredits me as a woman and it   s hurtful. i spend most day crying and feeling lonely. i am unhappy and unsure of what i need to do.",i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
i endured sexual and physical abuse by my brother as child,i'm glad that you are reaching out for help. what you are going though sounds overwhelming and exhausting. one thing you could try is to them your partner when they're not angry about other things to talk about,domesticviolence
i just lost my grandpa,"y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
i loved him more than anything. he passed away on our anniversary which was also the day i was going to apply for our apartment. i'm not handling it well. i moved to a new town and started a new life but nothing helps.,"y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
my grandma and brother both passed away 11 years ago and sometimes at night i just can't stop crying while thinking about the good memories we had but won't have ever again. i can't sleep at night when the memories and tears come i'll be fine all day then at night...boom! it's like waterfalls from my eyes. why can't i stop crying?,"y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
"i lost my mom, and i feel like i'm depressed","y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
i feel guilty about my fathers death,"y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
how do i find happiness after my boyfriend passed away?,"y'know, to see soemeone you've loved and care for pass on must make you want to cry. and, may i say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.and then, after about a week or so, it will help greatly.",griefandloss
i over endulge when i drink alcohol and feel extremely guilty about it the next day,"studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
"i'm a female in my mid 20s. lately i tend to over drink and i've become a very angry drunk. in the past, i have even cheated on my boyfriend while i was under the influence of alcohol. but now, even if i don't do anything wrong and don't embarrass myself, i still feel really guilty after a night of drinking. i don't understand why i'm feeling this way. does this mean i have a problem?","studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
i'm addicted to smoking. how can i stop?,"studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
"i'm planning to have baby, so i have to quit smoking   but it's hard. sometimes it's not a physical need, it's mental.i cannot help myself from thinking about smoking. what can i do to get rid of this addiction?","studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
how can i stop abusing alcohol?,"studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
"i have bipolar ii disorder, i'm addicted to alcohol and weed, and i'm hopeless. i keep drinking even though it's harming myself and others.","studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well.   i would recommend that you speak with someone abut your relationship and your concerns.   not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals.   being more aware of your relationship will help you in the future when re engaging in personal relationships.",substanceabuse-a
i don't know if my ex boyfriend is using opiates again,your friend needs to admit they have a problem. it can be more dangerous to take medication away than slowly tapering off of them. like anything we put into our system our tolerance builds up and can effect us in different ways. i would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.,substanceabuse-b
"my boyfriend and i recently broke up. one week, we were fine, and the next, he told me he needed space. he completely deleted me out of his life. he does have an opiate addiction. he claimed he was sober, but since we've split, i've heard many lies from him. could he be using again, and does this addiction affect the mind?",your friend needs to admit they have a problem. it can be more dangerous to take medication away than slowly tapering off of them. like anything we put into our system our tolerance builds up and can effect us in different ways. i would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.,substanceabuse-b
"my friend is abusing her prescription medicine. even though she told me she didn't have any more pills, i found she has prescriptions for anxiety medications.",your friend needs to admit they have a problem. it can be more dangerous to take medication away than slowly tapering off of them. like anything we put into our system our tolerance builds up and can effect us in different ways. i would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.,substanceabuse-b
"my brother has been a heroin addict for years, and he   s now in his mid 30s. he has taken from me my mom and my grandparents. he's sick in the head. now he moved his girlfriend into the house because they both manipulated us. today, my mom and my brother went toe to toe over his girlfriend not helping around the house and always being high. i ended up hitting my brother for getting so close to my mom's face. i feel terrible, but he's always picking his girlfriend over us. mind you, he tells other girls that he hates his girlfriend, he's single, and she's only living here because he feels bad. we tried kicking them out and everything, but nothing is working. they do nothing to try and help.",your friend needs to admit they have a problem. it can be more dangerous to take medication away than slowly tapering off of them. like anything we put into our system our tolerance builds up and can effect us in different ways. i would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.,substanceabuse-b
"no matter what i do, my mom will almost always find something wrong with it","breaking the patterns of relating to family members, is difficult work.in the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. does something else other than this bother you?",family-conflict
"i have a mother who is still running my life even though i'm almost 30 years old. i want to move out and live my own life, but it feels like as long as i do what my mom wants our relationship is okay. it's never okay if i don't do what she wants. i don't know how to start making my own decisions and not worry about whether it's right in her eyes. would it help for me to talk to someone about this?","breaking the patterns of relating to family members, is difficult work.in the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. does something else other than this bother you?",family-conflict
how can i avoid family members who stress me out?,"breaking the patterns of relating to family members, is difficult work.in the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. does something else other than this bother you?",family-conflict
what can i do about my family not accepting me as bisexual?,"breaking the patterns of relating to family members, is difficult work.in the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. does something else other than this bother you?",family-conflict
why can't my mom ever be proud of me?,"breaking the patterns of relating to family members, is difficult work.in the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. does something else other than this bother you?",family-conflict
